Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
2014-04-16,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",231.441,10763,6.5,en,"Action, Adventure, Fantasy",https://image.tmdb.org/t/p/original/c3e9e18SSlvFd1cQaGmUj5tqL5P.jpg
2021-12-02,The Whole Truth,"When two siblings stumble on a strange hole in the wall of their grandparents’ house, horrifying incidents reveal sinister secrets about their family.",231.334,109,6.5,th,Horror,https://image.tmdb.org/t/p/original/bPq6x47nEqMZED5PrKelcWWpezM.jpg
2022-02-07,Catwoman: Hunted,"Catwoman's attempt to steal a priceless jewel puts her squarely in the crosshairs of both a powerful consortium of villains and the ever-resourceful Interpol, not to mention Batwoman.",231.061,26,6.2,en,"Animation, Action, Crime",https://image.tmdb.org/t/p/original/iu01cvxs3eLQzra3YNF1pbpXIZa.jpg
2016-10-07,Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",230.758,10667,8.2,en,"Drama, History, War",https://image.tmdb.org/t/p/original/fTuxNlgEm04PPFkr1xfK94Jn8BW.jpg
2021-05-06,Crazy Fist,"After an opponent dies mid-match, a prominent MMA champion swore never to fight again and retired to run his family's company. But when his best friend dies under suspicious circumstances, he has no choice but to step back in the ring.",230.547,44,7.3,zh,Action,https://image.tmdb.org/t/p/original/jVAEVDNdUPRKJ7hJ4zt6lGcLATD.jpg
2001-11-16,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",230.0,22210,7.9,en,"Adventure, Fantasy",https://image.tmdb.org/t/p/original/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg
2012-04-25,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",229.772,26490,7.7,en,"Science Fiction, Action, Adventure",https://image.tmdb.org/t/p/original/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
2021-06-15,Dragon Fury,A group of soldiers are taken to the mountains of Wales to investigate a strange looking monster.,229.215,34,6.1,en,"Horror, Fantasy, Mystery",https://image.tmdb.org/t/p/original/6WcJ4cV2Y3gnTYp5zHu968TYmTJ.jpg
2021-07-29,Tarumama,"Sara and Óscar, a couple going through a marital crisis, decide to spend a week in a remote country cabin with their two children, Alicia and Tomás. The family tries to have a quiet time, but something strange happens there. There is a woman who prowls through the forest and cries uncontrollably looking for a baby she has just lost. This deeply affects the family who will have to stay together to survive this nightmare.",228.895,19,5.1,es,"Horror, Drama",https://image.tmdb.org/t/p/original/iwlmZKndp7fIfHbxVzQtk9zby3A.jpg
2016-10-25,Doctor Strange,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",228.266,18471,7.4,en,"Action, Adventure, Fantasy, Science Fiction",https://image.tmdb.org/t/p/original/uGBVj3bEbCoZbDjjl9wTxcygko1.jpg
2021-10-14,Halloween Kills,"The nightmare isn't over as unstoppable killer Michael Myers escapes from Laurie Strode's trap to continue his ritual bloodbath. Injured and taken to the hospital, Laurie fights through the pain as she inspires residents of Haddonfield, to rise up against Myers. Taking matters into their own hands, the Strode women and other survivors form a vigilante mob to hunt down Michael and end his reign of terror once and for all.",227.825,1585,6.8,en,"Horror, Thriller",https://image.tmdb.org/t/p/original/qmJGd5IfURq8iPQ9KF3les47vFS.jpg
2022-02-10,The Exorcism of God,"An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.",226.771,7,5.6,en,Horror,https://image.tmdb.org/t/p/original/pcqo9D8Bdppt6t9fBliJYPROZkv.jpg
2019-06-28,Spider-Man: Far From Home,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",224.034,12176,7.5,en,"Action, Adventure, Science Fiction",https://image.tmdb.org/t/p/original/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg
2022-01-01,Harry Potter 20th Anniversary: Return to Hogwarts,"An enchanting making-of story told through all-new in-depth interviews and cast conversations, inviting fans on a magical first-person journey through one of the most beloved film franchises of all time.",222.907,1105,8.0,en,Documentary,https://image.tmdb.org/t/p/original/jntLBq0MLR3hrwKaTQswxACRPMs.jpg
2020-09-02,After We Collided,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,221.992,4481,7.3,en,"Romance, Drama",https://image.tmdb.org/t/p/original/kiX7UYfOpYrMFSAGbI6j1pFkLzQ.jpg
2022-02-17,The Desperate Hour,A woman desperately races to save her child after police place her hometown on lockdown due to an active shooter incident.,221.838,21,5.8,en,Thriller,https://image.tmdb.org/t/p/original/u6Pg9eTklhg6Aa7kXaxrfdE1Chi.jpg
2015-04-18,Dragon Ball Z: Resurrection 'F',"One peaceful day on Earth, two remnants of Frieza's army named Sorbet and Tagoma arrive searching for the Dragon Balls with the aim of reviving Frieza. They succeed, and Frieza subsequently seeks revenge on the Saiyans.",220.049,1361,6.8,ja,"Action, Animation, Science Fiction",https://image.tmdb.org/t/p/original/soq3AxjALdBfdPAm8H7yuMmNL5Y.jpg
2021-10-28,Seal Team,"After his best friend is killed in a shark attack, Quinn, a lovable yet tenacious seal assembles a SEAL TEAM to fight back against a gang of sharks overtaking the neighborhood. But this merry band of international seals are not at all trained for such a mission. They seek the help of a much more skillful combatant, Claggart, but even his tricks and flips can’t whip these guys into shape. However, with a little bit of ingenuity, intelligence and a lot of heart, our SEAL TEAM may actually be able to bring peace back to their undersea community.",220.017,126,7.1,en,"Animation, Family, Comedy",https://image.tmdb.org/t/p/original/yPZ3I27oeSm4zVesgMxXlhW8GDe.jpg
2009-03-19,Knowing,A teacher opens a time capsule that has been dug up at his son's elementary school; in it are some chilling predictions -- some that have already occurred and others that are about to -- that lead him to believe his family plays a role in the events that are about to unfold.,218.406,4251,6.1,en,"Action, Mystery, Science Fiction, Thriller",https://image.tmdb.org/t/p/original/nO9gTGDNdYnPr9ILKNQmk6EVTVR.jpg
2021-10-01,Witch Hunt,"In a modern America where witches are real and witchcraft is illegal, a sheltered teenager must face her own demons and prejudices as she helps two young witches avoid law enforcement and cross the southern border to asylum in Mexico.",217.266,145,7.2,en,"Fantasy, Horror, Thriller, Drama",https://image.tmdb.org/t/p/original/vHKlIci8f38GaAd361EW0VSx91k.jpg
2014-09-10,The Maze Runner,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",215.466,14398,7.2,en,"Action, Mystery, Science Fiction, Thriller",https://image.tmdb.org/t/p/original/ode14q7WtDugFDp78fo9lCsmay9.jpg
2021-03-31,The Unholy,"Alice, a young hearing-impaired girl who, after a supposed visitation from the Virgin Mary, is inexplicably able to hear, speak and heal the sick. As word spreads and people from near and far flock to witness her miracles, a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around, he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister.",214.999,1543,6.8,en,Horror,https://image.tmdb.org/t/p/original/cFOWiYDQ8Nttmt0K6PU38L48wWK.jpg
2019-12-19,Ashfall,A group of unlikely heroes from across the Korean peninsula try to save the day after a volcano erupts on the mythical and majestic Baekdu Mountain.,212.134,357,6.6,ko,"Action, Adventure, Thriller",https://image.tmdb.org/t/p/original/gCZ0RHifBxZGedde7WPWSgjpyZt.jpg
2022-02-11,The Sky Is Everywhere,"Lennie is a teen musical prodigy grieving the death of her sister when she finds herself caught between a new guy at school and her sister's devastated boyfriend. Through her vivid imagination and conflicted heart, Lennie navigates first love and first loss.",211.618,16,5.8,en,"Drama, Romance, Music",https://image.tmdb.org/t/p/original/qMVUlq6rdqFo1xZ5ozQcKFCDbgj.jpg
2021-09-09,Time Is Up,"Vivien, an accomplished student with a passion for physics, and Roy, a troubled young man, are involved in an accident that forces them to reclaim their lives one minute at the time.",211.613,250,6.2,en,"Romance, Drama",https://image.tmdb.org/t/p/original/dxWHyMY4HoXH8LiEhYlga2OtK5B.jpg
2021-06-30,The Deep House,"While diving in a remote French lake, a couple of YouTubers who specialize in underwater exploration videos discover a house submerged in the deep waters. What was initially a unique finding soon turns into a nightmare when they discover that the house was the scene of atrocious crimes. Trapped, with their oxygen reserves falling dangerously, they realize the worst is yet to come: they are not alone in the house.",211.563,527,6.5,en,Horror,https://image.tmdb.org/t/p/original/5xhAPxRr64oQPEFnUOrttuI4ZEU.jpg
2015-08-07,Boruto: Naruto the Movie,"The spirited Boruto Uzumaki, son of Seventh Hokage Naruto, is a skilled ninja who possesses the same brashness and passion his father once had. However, the constant absence of his father, who is busy with his Hokage duties, puts a damper on Boruto's fire. He ends up meeting his father's friend Sasuke, and requests to become... his apprentice!? The curtain on the story of the new generation rises!",211.071,996,7.7,ja,"Animation, Action, Comedy",https://image.tmdb.org/t/p/original/1k6iwC4KaPvTBt1JuaqXy3noZRY.jpg
2002-11-13,Harry Potter and the Chamber of Secrets,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",210.837,17901,7.7,en,"Adventure, Fantasy",https://image.tmdb.org/t/p/original/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg
2020-02-12,Sonic the Hedgehog,"Based on the global blockbuster videogame franchise from Sega, Sonic the Hedgehog tells the story of the world’s speediest hedgehog as he embraces his new home on Earth. In this live-action adventure comedy, Sonic and his new best friend team up to defend the planet from the evil genius Dr. Robotnik and his plans for world domination.",210.751,7559,7.4,en,"Action, Science Fiction, Comedy, Family",https://image.tmdb.org/t/p/original/aQvJ5WPzZgYVDrxLX4R6cLJCEaQ.jpg
2017-10-27,Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",210.527,15355,8.2,en,"Family, Animation, Fantasy, Music, Comedy, Adventure",https://image.tmdb.org/t/p/original/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg
2017-06-21,Ava,"Ava, 13, is spending the summer on the Atlantic coast when she learns that she will lose her sight sooner than expected. Her mother decides to act as if everything were normal so as to spend their best summer ever. Ava confronts the problem in her own way. She steals a big black dog that belongs to a young man on the run...",210.438,130,6.0,fr,Drama,https://image.tmdb.org/t/p/original/cUI1PFsrQVJR3IZOpkfsOOOUhTO.jpg
2014-10-15,Fury,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",210.26,9757,7.5,en,"War, Drama, Action",https://image.tmdb.org/t/p/original/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg
2021-08-12,Don't Breathe 2,"The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.",209.059,1490,7.4,en,"Thriller, Horror",https://image.tmdb.org/t/p/original/r7HEBkkRN93d3eFBZgPJfRaob5p.jpg
2021-10-01,Matando Cabos 2: La Máscara del Máscara,"Faced with the unexpected death of his estranged father -El Máscara- and the subsequent theft of his precious mask, Rubén -Mascarita- will find himself confronted with his past. Alongside his invincible bodyguard Tony ""The Cannibal"" and, an unexpected ally, he will have only one day to recover it and make amends with the memory of his father.",209.018,70,7.8,es,"Action, Comedy, Adventure",https://image.tmdb.org/t/p/original/vu3CfSqxNzmnSU8SrWLDTHzspk9.jpg
2020-12-03,Monster Hunter,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",208.742,2460,6.8,en,"Action, Fantasy, Adventure",https://image.tmdb.org/t/p/original/1UCOF11QCw8kcqvce8LKOO6pimh.jpg
2014-12-06,The Last: Naruto the Movie,"Two years after the events of the Fourth Great Ninja War, the moon that Hagoromo Otsutsuki created long ago to seal away the Gedo Statue begins to descend towards the world, threatening to become a meteor that would destroy everything on impact. Amidst this crisis, a direct descendant of Kaguya Otsutsuki named Toneri Otsutsuki attempts to kidnap Hinata Hyuga but ends up abducting her younger sister Hanabi. Naruto and his allies now mount a rescue mission before finding themselves embroiled in a final battle to decide the fate of everything.",208.37,1139,7.9,ja,"Action, Romance, Animation",https://image.tmdb.org/t/p/original/bAQ8O5Uw6FedtlCbJTutenzPVKd.jpg
2017-07-05,Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",207.817,18174,7.4,en,"Action, Adventure, Science Fiction, Drama",https://image.tmdb.org/t/p/original/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg
2022-02-11,Bigbug,"Humans have ceded most tasks to AI in 2045, even in nostalgic Alice's home. So when robots stage a coup, her androids protectively lock her doors.",207.027,176,5.4,fr,"Science Fiction, Comedy",https://image.tmdb.org/t/p/original/73Eh5dm6O604kgYY69oQVOeSOvZ.jpg
2002-05-01,Spider-Man,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",206.376,15336,7.2,en,"Fantasy, Action",https://image.tmdb.org/t/p/original/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg
2019-04-24,Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",205.308,20521,8.3,en,"Adventure, Science Fiction, Action",https://image.tmdb.org/t/p/original/or06FN3Dka5tukK1e9sl16pB3iy.jpg
2021-07-21,Old,A group of families on a tropical holiday discover that the secluded beach where they are staying is somehow causing them to age rapidly – reducing their entire lives into a single day.,205.157,2288,6.6,en,"Thriller, Mystery, Horror",https://image.tmdb.org/t/p/original/vclShucpUmPhdAOmKgf3B3Z4POD.jpg
2011-09-28,Real Steel,"Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender.",203.843,6561,6.9,en,"Action, Science Fiction, Drama",https://image.tmdb.org/t/p/original/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg
2022-02-11,Love and Leashes,"Love never hurt so good for two co-workers who enter a contractual relationship as partners in consensual play, pleasure and pain.",203.743,68,6.3,ko,"Romance, Comedy",https://image.tmdb.org/t/p/original/yQgGYiHUoDYeA4TbYlghpA5lmKH.jpg
2019-04-11,After,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.",203.008,6973,7.2,en,"Romance, Drama",https://image.tmdb.org/t/p/original/u3B2YKUjWABcxXZ6Nm9h10hLUbh.jpg
2021-06-30,The Forever Purge,All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end as they chase a group of immigrants who they want to punish because of their harsh historical past.,202.704,1652,7.3,en,"Horror, Action, Thriller",https://image.tmdb.org/t/p/original/lB068qa6bQ0QKYKyC2xnYGvYjl7.jpg
2022-02-11,Tall Girl 2,"After Jodi Kreyman gains popularity, her miscommunications start causing rifts with those around her and now she really needs to ""stand tall"".",202.01,127,6.0,en,"Comedy, Drama, Romance",https://image.tmdb.org/t/p/original/eyKkLdst2vFRjCC89C3NqGCLpNE.jpg
2022-02-17,Dog,An army ranger and his dog embark on a road trip along the Pacific Coast Highway to attend a friend's funeral.,200.253,32,8.3,en,"Drama, Comedy",https://image.tmdb.org/t/p/original/pb8rHkAyojBYtMe5fnSvFMCPc3D.jpg
2007-12-12,I Am Legend,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",199.248,13042,7.2,en,"Drama, Science Fiction, Thriller",https://image.tmdb.org/t/p/original/iPDkaSdKk2jRLTM65UOEoKtsIZ8.jpg
2007-08-04,Naruto Shippuden the Movie,"Demons that once almost destroyed the world, are revived by someone. To prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine maiden Shion from the country of demons, who has two powers; one is sealing demons and the other is predicting the deaths of humans. This time Naruto's mission is to guard Shion, but she predicts Naruto's death. The only way to escape it, is to get away from Shion, which would leave her unguarded, then the demon, whose only goal is to kill Shion will do so, thus meaning the end of the world. Naruto decides to challenge this ""prediction of death.""",198.011,418,7.2,ja,"Animation, Action, Fantasy",https://image.tmdb.org/t/p/original/vDkct38sSFSWJIATlfJw0l3QOIR.jpg
2021-02-10,Tom & Jerry,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse.",197.721,1948,7.0,en,"Comedy, Family, Animation",https://image.tmdb.org/t/p/original/8XZI9QZ7Pm3fVkigWJPbrXCMzjq.jpg
2022-02-10,Against the Ice,"In 1909, two explorers fight to survive after they're left behind while on a Denmark expedition in ice-covered Greenland.",195.989,117,7.0,en,"Adventure, History, Drama",https://image.tmdb.org/t/p/original/6FSGYvPEhIx3ThOikGqHmKxeyNN.jpg
2021-08-12,An Egg Rescue,Toto and his friends must rescue his egg children after they're taken away for a gourmet food event in Africa.,194.622,295,8.1,es,"Animation, Comedy",https://image.tmdb.org/t/p/original/ewrIYKTLaqerwznGzNhmqr0huTs.jpg
2005-11-16,Harry Potter and the Goblet of Fire,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",193.459,16947,7.8,en,"Adventure, Fantasy, Family",https://image.tmdb.org/t/p/original/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg
2021-02-11,Pretty Guardian Sailor Moon Eternal The Movie Part 2,"While under the care of the Outer Sailor Guardians, Hotaru begins to age rapidly. Then, the time comes for all the Sailor Guardians to reunite!",192.922,102,8.1,ja,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",https://image.tmdb.org/t/p/original/f91rtk8dODezNLT3grQrELyzFwA.jpg
2021-07-29,Demonic,A young woman unleashes terrifying demons when supernatural forces at the root of a decades-old rift between mother and daughter are ruthlessly revealed.,192.391,109,4.8,en,"Horror, Thriller",https://image.tmdb.org/t/p/original/pUK9duiCK1PKqWA5rRQ4XBMHITH.jpg
2021-11-24,Far From the Tree,"On an idyllic beach in the Pacific Northwest, curiosity gets the better of a young raccoon whose frustrated parent attempts to keep them both safe.",192.331,194,8.1,en,"Animation, Family",https://image.tmdb.org/t/p/original/39oaQUS0KxyXL6KYJ2o2u03PpHz.jpg
2020-07-09,Black Water: Abyss,"An adventure-loving couple convince their friends to explore a remote, uncharted cave system in the forests of Northern Australia. With a tropical storm approaching, they abseil into the mouth of the cave, but when the caves start to flood, tensions rise as oxygen levels fall and the friends find themselves trapped. Unknown to them, the storm has also brought in a pack of dangerous and hungry crocodiles.",191.722,312,5.1,en,"Horror, Thriller, Adventure, Mystery",https://image.tmdb.org/t/p/original/pmAv14TPE2vKMIRrVeCd1Ll7K94.jpg
2020-12-11,"Yes, No, or Maybe Half?","Kunieda Kei is a popular, young TV announcer whose public and private personas are so different, they might be called extreme. On the outside, he is the picture of perfection, affectionately nicknamed ""The Prince,"" while on the inside he is constantly cursing at all of the incompetence around him. Of course, no one knows this secret of his.  One day, Kei meets animation artist Tsuzuki Ushio for a work assignment. While Kei is in ""inside mode,"" he later runs into Tsuzuki, who doesn't recognize him in his worn-out sweats and a facemask, but as compensation for injuring Tsuzuki's arm, Kei gets roped into helping out with his work.",191.592,17,6.7,ja,"Animation, Drama, Romance",https://image.tmdb.org/t/p/original/sH8xCXLEbihNNVDbewddzkYnNPF.jpg
2020-08-14,The SpongeBob Movie: Sponge on the Run,"When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal.",191.122,2436,7.6,en,"Family, Animation, Fantasy, Adventure, Comedy",https://image.tmdb.org/t/p/original/jlJ8nDhMhCYJuzOw3f52CP1W8MW.jpg
2018-12-06,Spider-Man: Into the Spider-Verse,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",190.775,10951,8.4,en,"Action, Adventure, Animation, Science Fiction",https://image.tmdb.org/t/p/original/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg
2004-05-31,Harry Potter and the Prisoner of Azkaban,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",189.771,17607,8.0,en,"Adventure, Fantasy",https://image.tmdb.org/t/p/original/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg
2021-03-03,The Vault,"When an engineer learns of a mysterious, impenetrable fortress hidden under The Bank of Spain, he joins a crew of master thieves who plan to steal the legendary lost treasure locked inside while the whole country is distracted by Spain's World Cup Final. With thousands of soccer fans cheering in the streets, and security forces closing in, the crew have just minutes to pull off the score of a lifetime.",189.579,555,7.1,en,"Crime, Action, Thriller",https://image.tmdb.org/t/p/original/kWhXubAiIcHW0xn5GThflqaKZqh.jpg
2022-03-09,The Adam Project,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self on a mission to save the future.",189.245,2,6.0,en,"Science Fiction, Adventure, Comedy",https://image.tmdb.org/t/p/original/sI3hQMTyrF9F8jU1qA8qPHLKCgG.jpg
2016-02-09,Deadpool,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",189.206,26390,7.6,en,"Action, Adventure, Comedy",https://image.tmdb.org/t/p/original/3E53WEZJqP6aM84D8CckXx4pIHw.jpg
2021-10-22,The Harder They Fall,"Gunning for revenge, outlaw Nat Love saddles up with his gang to take down enemy Rufus Buck, a ruthless crime boss who just got sprung from prison.",188.865,611,6.7,en,Western,https://image.tmdb.org/t/p/original/su9WzL7lwUZPhjH6eZByAYFx2US.jpg
2001-11-01,"Monsters, Inc.","James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.",188.759,15255,7.8,en,"Animation, Comedy, Family",https://image.tmdb.org/t/p/original/sgheSKxZkttIe8ONsf2sWXPgip3.jpg
2021-02-09,Ainbo: Spirit of the Amazon,"An epic journey of a young hero and her Spirit Guides, 'Dillo' a cute and humorous armadillo and ""Vaca"" a goofy oversized tapir, who embark on a quest to save their home in the spectacular Amazon Rainforest.",188.484,285,7.1,en,"Adventure, Animation, Family, Fantasy",https://image.tmdb.org/t/p/original/l8HyObVj8fPrzacAPtGWWLDhcfh.jpg
2021-12-07,Don't Look Up,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,188.404,4819,7.2,en,"Comedy, Drama, Science Fiction",https://image.tmdb.org/t/p/original/th4E1yqsE8DGpAseLiUrI60Hf8V.jpg
